abbreviation,اختصار
block gap,فجوة بين الوحدات التجميعية
block handler (block handling routine),مناول الوحدات التجميعية (برنامج الوحدات التجميعية)
block header,مقدمة الوحدة التجميعية
block indexing,فهرسة الوحدات التجميعية
block length,طول الوحدة التجميعية
block multiplexing,مضاعفة بالوحدات التجميعية
block paging,استدعاء وحدات تجميعية
block structured language,لغة تجميعية التركيب
blocked process,عملية معوقة
blocking factor,عامل التجميع
blocking software,برنامج المنع
blue ribbon campaign,حملة الشريط الأزرق
blueprint,مخطط
BNC connector,وصلة بي إن سي
bobbin core,قلب ملف مغنطيسي
BOLERO,بوليرو
boolean function,دالة بوليانية
boot ( booting ),إنهاض الحاسوب
boot disk,قرص إنهاض الحاسوب
boot drive,مشغل إنهاض الحاسوب
boot failure,فشل إنهاض الحاسوب
boot partition,جزء إنهاض الحاسوب
boot sequence,تسلسل إنهاض الحاسوب
bootstrap input program,برنامج إدخال بادئ التحميل
borrow,مستعار حسابي (مرحل حسابي سالب)
arithmetic,مستعار حسابي (مرحل حسابي سالب),مرحل حسابي
BOT marker,علامة بدء الشريط
bottleneck,اختناق
bottom up development,تطوير من أسفل لأعلى
bottom up parsing,إعراب من أسفل لأعلى
bound register,مسجل الحد
bpi (b/i),بيتة / بوصة
bps (b/s),بيتة / ثانية
jump instruction,أمر بالقفز,أمر بالتخطي
branch point,نقطة تفرع
parent node,عقدة تفرع
bread board,لوحة تجارب
bric,ذاكرة طرفية
bridge limiter,محدد قنطري
bridge ware,عتاد قنطري
broadband network,شبكة واسعة النطاق
broadcasting,نشر
brouter,قنطرة موجهة
BSC,بي.إس.سي
bubble memory,ذاكرة الفقاعات
bubble sort,فرز فقاعي
bucket,خانة
buddy list,قائمة الأصدقاء
Buddy system,نظام المصاحب
buffer pool,مجمع مخازن وسيطة
buffer register,مسجل وسيط
backing storage,خازنة مساندة
"white-space pre;">	this is a bulleted text sequence,سبيل المثال
bundling,تحزيم
bureau,مكتب
Burn in,اختبار الصلاحية
burst,حزمة
burst mode,أسلوب الدفعات
burster,فاصلة
bypassing,تعدية
cable delay,التأخير الكبلي
cash,كاش
cache RAM,رام حاضرة (كاش )
CAI,ك أ ي,التعليم بمعاونة الحاسوب (ك ا ي)
CAL,ك أ ل,التعلم بمعاونة الحاسوب,لغة محادثة جبرية
calendar time,الزمن المتاح
call by location,استدعاء بالموقع
"white-space pre;">,أمر استدعاء,تحويل بيانات,جي فورس,تطوير لبروتوكول الإنترنت,يتضمن تحسينا لإجراءات الأمن,وزيادة سعة العنوان بمقدار 16 بيتة ( 2 بايت ),بروتوكول وكالة أبحاث برامج الدفاع الأمريكية. يستخدم لاتصال الحواسيب,ونقل ملفات البيانات,وقد شاع استخدام هذا البروتوكول في شبكات الحواسيب. والمصطلح الأجنبي مأخوذ من الحروف البادئة لعبارة transmission control protocol.
call number,رقم استدعاء
calling sequence,متتابعة استدعاءات
CAM,ك أ م,التصنيع بمعاونة الحاسوب (ك ا م),ذاكرة معنونة بمضمونها ( ك ا م)
cancelbot,أداة إلغاء الرسائل
cancelmoose,مبطل أداة إلغاء الرسائل
capability architecture,قابلية البناء
capacitor store,خازنة المكثفات
common channel,سعة قناة الاتصال
capstan,رأس رحوية
CC,نسخة كربونية
card card transceiving,الإرسال والاستقبال بين بطاقتين
card checking,تدقيق البطاقة
card code,شفرة (كود) البطاقات
card face,وجه البطاقة
card field,مجال البطاقة
card image,الصورة الرقمية للبطاقة
card loader,محمل البطاقات
card machine,آلة بطاقات
card punch,ثاقبة بطاقات
card reader,قارئة بطاقات
card reproducer,وحدة نسخ البطاقات
card row,صف بطاقة
card sorter,مرتبة بطاقات
card to disk conversion,التحويل من البطاقات إلى القرص
card verifier,محقق بطاقات
careware,برمجيات حافزة للتبرع
CR,رمز بدء السطر
CSMA/CD,بروتوكول مراقبة الشبكة بالتوصل المتعدد وكشف التصادم
carry flag,مؤشر المرحل
carry lookahead,توقع المرحل
carry,مرحل حسابي
CSS,أسلوب أوراق متتالية
cassette tape,شريط كاسيت
CAT,ك أ ت,الاختبار بمعاونة الحاسوب (ك ا ت),ك ا ت
catena,سلسلة
CCD,أداة الشحنات المترابطة
CCITT,المجموعة الاستشارية الدولية للتلغراف والتليفون
comité consultatif international detelégraphique et teléphonique.,هيئة دولية لتنظيم العمل في مجال التلغراف والتليفون تصدر نشرات التوحيد القياسي,ويتكون المصطلح من الحروف البادئة للعبارة الفرنسية
CD-ROM extended architecture,سى. دى. روم ( للقراءة فقط ) CD ROM,سى دى روم ممتد البنية
CD quality sound,صوت بجودة السى دى
CD ROM density,كثافة ال سي دي روم
CD ROM server,متيح سي دي روم
conformite' Europe'ene,العلامة CE
ceefax,سيفاكس
push down store,قعر قاع الذاكرة
cellular modem,مودم خلوي
censorship,رقابة
cent (Acoustics),سنت (صوتيات)
Centrino,سنترينو
COA,شهادة أحقية
colour graphics adapter,مهايئ لعرض الرسوم الملونة
colour/graphics/monochrome adapter,مهايئ لعرض الرسوم أحادية اللون
chadded tape,شريط مثقب به فتات
chain command,أمر مسلسل
chained file,ملف تسلسلي
chained list,قائمة مسلسلة,قائمة موصلة
chained search,بحث تسلسلي
change dump,مقلب التغيرات
change record,سجل التغييرات
character density,كثافة الحروف
display character generator,مولد الحروف
character reader,قارئة حروف
character word,كلمة حرفية
chassis,هيكل (شاسيه)
chat slang,لغة عامية للدردشة
r u smart bcoz I need some 1 smart?,كلمات أو أحرف تستخدم للاختصار في غرف الدردشة بديلا عن الكلمات الحقيقية,وتكون عادة أصعب فهما لمن لم يألفوها,وعلى سبيل المثال
internet relay chart,دردشة إنترنت
check character,رمز اختبار
check digit,رقم اختبار
check number,رقم اختبار
check process,عملية اختبار الأداء
checking program,برنامج اختبار (برنامج فحص)
Chill,تشل
cholestric LCD screen,شاشة كوليستيرية بلورية سائلة
cinepak,ساينباك
cypher,شيفرة
circuit board,لوحة دائرة إلكترونية
circular reference,مرجعية دورانية
circular shift,إزاحة دائرية
clamping voltage,فلطية التثبيت
clarinet,كلارينيت ( شبكة إيضاحية)
clear instruction,أمر محو
CTS/RTS,جاهز للإرسال
clock pulses,نبضات الساعة
CUG,مجموعات مغلقة للمستخدمين
closing a file,إقفال ملف
cluster analysis,تحليل عنقودي
COSMOS,كوزموس
cyan,أزرق داكن   أحمر أرجوانى   أصفر,أصفر   أحمر أرجواني   أزرق داكن   أسود
COBOL,كوبول
code system,نظام كودي,نظام تشفير
multiple address,نظام ترميز لعناوين متعددة
codec (compression/ DE compression),كودك
codename,اسم كودي
cognitive modeling,نمذجة بالإدراك
cognitive science,علم الإدراك
cold boot,إنهاض على البارد
collating sequence,متتابعة ضم
collation,ضم
color bits,بيتات اللون
color depth,عمق اللون
color graphics monitor,شاشة الرسوم الملونة
common algorithmic language,لغة خوارزمية عامة
combinational (combinatorial ) circuit,دائرة توفيقية
combinatories,توافيقيات
CLI,واجهة خط الأوامر
comment statement,عبارة شارحة
CIX,مؤسسة التبادل التجاري عبر الإنترنت
COMAL,كومال
communication channel,قناة اتصال
communication link controller,ضابط وصلة اتصالات
communication network,شبكة اتصالات
communication processor,مشغل اتصالات
communications decency act,قانون آداب الاتصالات
CESG,مجموعة تأمين الاتصالات الإلكترونية
commutative operation,عملية تبادلية
CDFS,نظام ملفات الأقراص المدمجة
comparator,مقارن
compare instruction,أمر مقارنة
compilation time,مدة الترجمة
COM,نموذج مكونات الهدف,ميكروفيلم لمخرجات الحاسب
computational psychology,علم النفس الحسابي
computer architecture,بنية الحاسوب
computer based learning,التعليم باستخدام الحاسوب
CBT,التدريب بمعاونة الحاسوب
computer crime,الإجرام بالحاسوب
CERT,فريق الاستجابة لطوارئ الحاسوب (سيرت )
computer family,عائلة حواسيب
computer instruction,أمر للحاسوب
computer logic,منطق الحاسوب
CMI,إرشادات عن طريق الحاسوب
computer power,قدرة الحاسوب
computer word,كلمة حاسوبية
general purpose,حاسوب عام
special purpose,حاسوب لغرض خاص
concatenated coding systems,نظم التكويد المتسلسلة
concurrent programming,برمجة متواقتة
condition code,كود الحالة
conditional branch instruction,أمر تفريغ مشروط
conferencing system (CoSy),نظام عقد المؤتمرات (كوزي)
connectivity,الاتصالية
CAV,نمط التشغيل بسرعة زاوية ثابتة
CLV,نمط التشغيل بسرعة خطية ثابتة
CSG,الهندسة الفراغية التشكيلية
contention,تزاحم,صراع
context analysis,تحليل السياق
context sensitive grammar,قواعد سياقية
context dependent grammar,قواعد سياقية
context dependent language,لغة سياقية
context free language,لغة لا سياقية
context sensitive help,مساعدة سياقية
contiguous,متجاور
contiguous storage,تخزين متلاصق
contingency procedure,إجراءات الطوارئ
continuation line,سطر استكمال
continue statement,عبارة "استمر"
continuous systems,نظم الإشارات المتصلة
contrapositive,معكوس
control character,رمز تحكم
control cycle,دورة التحكم
control design,تصميم وحدة التحكم
control line,خط تحكم
control program,برنامج تحكم
CU,وحدة التحكم
sequential,تحكم متتابع
convolution,حوية
matrix store,خازنة إحداثية
document copying machine,ناسخة
common real time application language,كورال
common object request broker architecture,النظام العام لوسطاء الطلبات
core store,ذاكرة مركزية
core memory,ذاكرة مركزية
remedial maintenance,صيانة إصلاحية
corruption of data,إفساد البيانات
character per second,حرف في الثانية (حرف/الثانية)
CPU cycle,دورة وحدة التشغيل المركزية
CPU time,زمن التشغيل المركزي
cracking,تلصص
crimping tool,أداة ربط (كلابة)
crippled mode,نمط كسيح
critical path method,طريقة المسار الحرج
critical resource,مصدر حرج
crop marks,علامات التقليم
crossover cable,كبل تحويل
crosstalk,تداخل الإشارات
crunch,يطحن
to,يطحن,يجرد,يخرج,يمكن,ينقضي,يمدد,يملأ,يصلح,يدور,يحرق,ينهي المكالمة,يدخل في سبات
clear to send/ ready to send,واضح للإرسال / جاهز للإرسال
common user interface,تواصل بيني للمستخدم العادي
cumalitive distribution function,دالة التوزيع التراكمي
current instruction register,مسجل الأمر الجاري
current reality,الحقيقة السائدة
CU-SeeMe,سي يو   سي مي ( أراك وتراني )
customer developed program,برنامج من وضع المستخدم
CRM,إدارة علاقات العملاء
customizing,تصنيع وفقا للطلب
articulation point,عقدة المفصل
campus wide information system,النظام المعلوماتي على نطاق الحرم الجامعي
cyberlaw,القانون السيبراني
cyberpunk,الحقير السيبراني
cyberwar,حرب عنكبوتية
cycle stealing,سرقة الدورات
cyclic code,شفرة دائرية
cyclic store,خازنة دورية
cypherpunk,الحقير السيبراني
D flip-flop,دائرة قلابة " D"
D object,عنصر ثلاثي الأبعاد
digital to analog convertor,محول رقمي إلى تناظري,محول من رقمي إلى تناظري
damping,تخميد
digital audio tape,شريط صوتي رقمي
data collection,احتياز بيانات
data acquisition control system,نظام التحكم في احتياز البيانات
data adapter unit,وحدة مهايئ البيانات
data link,قناة البيانات (وصلة البيانات),قناة بيانات
data collision,تصادم البيانات
data communication channel (link),قناة اتصال البيانات
DCE,معدات اتصال البيانات
data corruption,فساد البيانات
data declaration statement,صيغة إعلان البيانات
data definition,تعريف البيانات
data density,كثافة البيانات
DDL,لغة توصيف البيانات
data encrypting key,مفتاح تشفير البيانات
data encryption,تشفير البيانات
DES,معيار تشفير البيانات,دي إي إس
data integrity,سلامة البيانات
data leakage,تسرب البيانات
data link protocol,بروتوكول ربط البيانات
DML,لغة تداول البيانات
data network,شبكة بيانات
data preparation,تجهيز البيانات
data protection legislation,تشريع حماية البيانات
data stream,دفقة بيانات
data tablet,لوحة بيانات
data translation,ترجمة البيانات
data validation,تحقيق البيانات
data verification,تأكيد البيانات
DBMS,نظام إدارة قاعدة بيانات
datagram service,خدمة رسالة البيانات
data communication equipment,معدات اتصال البيانات
dispatcher control table,جدول تحكم موزع المهام
De facto standard protocol,بروتوكول معياري بحكم الواقع
De morgan laws,قانونا دي مورجان
de updating,الرجوع للسابق
deallocate,وقف تخصيص
deallocation,إلغاء تخصيص
debouncing,تلافي الارتداد
decay time,زمن الاضمحلال
deceleration time,زمن التباطؤ
decentralized processing,تشغيل لا مركزي
decision gate,بوابة القرار
decision support systems,نظم دعم اتخاذ القرار
decision table,جدول قرارات
decision tree,شجرة قرارات
declarative statement,جملة تعريفية
non procedural language,لغة غير إجرائية
declaration statement,جملة تعريفية
decoder demultiplexer,موزع الكود
decoding,فك الشفرة
decollector,مفرق
decompiler,مترجم عكسي
decompression,فك الانضغاط
dedicated,مخصص,خط مخصص
deferred addressing,عنونة مرحلة
delay line,خط تأخير
DEL,أمر حذف
demagnetization,إزالة المغنطة
demodularization,دمج الوحدات
demodulator,فاك التضمين
dismount,أمر بإيقاف التحميل,وضع جهاز طرفي في حالة تسمح باستخدامه بنظام الحاسوب.
demultiplexer,مفرق
derivation tree,شجرة الاشتقاق
descendants,أخلاف (جمع خلف)
DTP,ناشر مكتبي
destination code,كود المقصد
DRO,قراءة متلفة
dynamic host configuration protocol,البروتوكول الدينامي المهايئ المضيف
Dhrystone,درايستون
diagnosis,تشخيص
diagnostic message,رسالة تشخيصية
diagnostic routine,برنامج تشخيص
dial up access,دخول بالاتصال الهاتفي
dialing unit,وحدة تلفنة
DAT,دات
digital circuit,دائرة رقمية
digital image processor,معالج رقمي للصور
digital data transmission,إرسال البيانات الرقمية
digital design,تصميم رقمي
digital photography,تصوير رقمي
digital recording,تسجيل رقمي
DRM,الإدارة الرقمية لحقوق النشر
digital signal,إشارة رقمية
digital signal processing,التشغيل الرقمي للإشارات,معالجة الإشارات الرقمية
digitization,تحويل رقمي (رقمنة)
digitizer,محول رقمي
digitizing pad,لوحة التقسيم الرقمي
dimension (dimensionality),البعدية
dingbats,رموز زخرفية
dip switches,مفاتيح الاختبارات
direct - x,التوصل المباشر
DASD,جهاز تخزين بالتوصيل المباشر
direct addressing,عنونة مباشرة
direct coupled machines,آلات بتقارن مباشر
direct data entry,إدخال مباشر للبيانات
direct graph,مخطط موجه
disarm,يجرد
disassembler,مجمع عكسي
disaster dump,تفريغ اضطراري
discrete channel,قناة متقطعة
DCT,تحويل جيب التمام (باستخدام قيم منفردة)
discrete system,نظام متقطع
discretization error,خطأ التقطيع
disk pack,خرطوشة أقراص
disk unit,وحدة تشغيل أقراص
disk file,ملف قرصي
disk format,تهيئة القرص
DOS,نظام تشغيل قرصي (دوس)
disk optimizer,معظم استيعاب الأسطوانة
disk cartridge,حزمة أقراص
flexi disk,قرص مرن
demount,أمر بإيقاف التحميل
dispatcher,المرسل
character generator,مولد الحروف
display processor,مشغل العرض
distortion,تشوه
distributed processing,تشغيل موزع
domain name server,خادم مستخدمي المجال
copying machine,ناسخة
document feeder,مغذي الوثائق
double buffering,الخزن الوسيط المزدوج
double density diskette,قريص مزدوج الكثافة
DEQUE,طابور مزدوج النهاية
double sided,ذو وجهين
downlink,وصلة أرضية
dots per inch,نقطة / بوصة
dots per second,نقطة / ثانية
Dr. Watson,د. واطسون
draft copy,مسودة
dynamic ram,رام دينامية
dribbleware,طرح المنتجات بالتجزئة,إنتاج بالتجزئة
drift,انجراف
drive letters,حروف المشغل
drop dead halt,توقف نهائي
dropout,هبوط
drum,أسطوانة
digital subscriber line,تقنية خطوط الاشتراك الرقمية,خط اشتراك رقمي
dual core,قلب مزدوج
dual port memory,ذاكرة ثنائية المدخل
dual processor,مشغل مزدوج
dummy variable,متغير دمية
dummy statement,عبارة لغو
dummy argument,متغير دمية
dump check,نسخة اختبار
dumped,بيانات مودعة
duty cycle,دورة العمل
digital versatile disk,أسطوانة فيديو رقمية
DVORAK,دفوراك
dyadic Boolean operation,عملية بوليانية ثنائية
dyadic operation,عملية ثنائية
dynamic allocation,تخصيص دينامي
DDE,تبادل دينامي للبيانات
DHCP,بروتوكول التكوين الدينامي لمضيف
dynamic memory,ذاكرة دينامية
dynamic programming,البرمجة الدينامية
e-(electronic ) banking,الصرافة الإلكترونية
e-(electronic ) business,الأنشطة الإلكترونية للأعمال
e-(electronic) commerce,التجارة الإلكترونية
Easter egg,خبيئة
eavesdropping,تنصت
E13B,إي 13 بي
EBCDIC,ابسديك
echo check,اختبار بالصدى
echo suppressor,مخماد
econet,إكونت
electronic cash register,مسجل نقد إلكتروني
edge connector,موصل طرفي
electronic data interchange for administration,التبادل الإلكتروني للبيانات في مجالات الإدارة والمؤسسات التجارية
commerce and trade,التبادل الإلكتروني للبيانات في مجالات الإدارة والمؤسسات التجارية
extended data out random access memory,البيانات الموسعة خارج ذاكرة التوصل العشوائي
electronic data processing center,مركز المعالجة الإلكترونية للبيانات
electronic data processing management science,علم إدارة تشغيل البيانات إلكترونيا
enhanced dynamic RAM,رام دينامية معززة
edulcorate,تنقية البيانات
e-envoy,معتمد الكتروني
electrically erasable programmable read-only memory,ذاكرة قراءة فقط قابلة للبرمجة وللمحو كهربائيا
effective address,عنوان فعلي
enhanced graphics adapter,مهايئ معزز لعرض الرسوم
egg,إج
enhanced integrated drive electronics,وحدة تشغيل إلكترونية متكاملة معززة
executive information systems,نظم المعلومات التنفيذية
extended industry standard architecture,البنية الصناعية القياسية الممتدة
e-learning,التعلم الإلكتروني
EEROM,إيروم
EBX,المبادلة الإلكترونية للكتب
electronic communications privacy act,قانون خصوصية الاتصالات الإلكترونية
EDI,التبادل الإلكتروني للبيانات
EDP,المعالجة الإلكترونية للبيانات
EFF,مؤسسة حدود التعامل الإلكتروني
EFT,النقل الإلكتروني للاعتمادات المالية
electronic office,مكتب إلكتروني
electronic publishing,نشر إلكتروني
electronic whiteboard,لوحة بيضاء إلكترونية
electrostatic printer,طابعة إلكتروستاتية
ELM,إلم
e-mail bomb,قنبلة البريد الإلكتروني
electronic marketplace,السوق الإلكترونية
enhanced memory management,إي. إم. إم ( إدارة الذاكرة المعززة)
emoticons,رموز للمشاعر
empty medium,وسط خال
empty set,فئة خالية
empty string,سلسلة خالية
empty time slot,فترة زمنية متاحة
EOF,نهاية الملف
EOT,نهاية الإرسال
entropy (in information theory),أنتروبيا (في نظرية المعلومات)
entry point,نقطة دخول
end of transmission,نهاية الإرسال
EPROM,إيبروم
erasable programmable read only memory,ذاكرة قراءة فقط قابلة للبرمجة وللمحو
programs of,برمجيات الأداء العضلي
educational resources information center,مركز معلومات الموارد التعليمية
erlang,إيرلنج
error correcting code,حزمة كشف الأخطاء,شفرة ذاتية التصحيح
error rate,معدل الخطأ
enhance special mobile radio,راديو نقالي معزز
ethical hacking,تلصص أخلاقي
even parity bit,بيتة الضبط الزوجي
event viewer,منظار الحدث
e-voting,التصويت الإلكتروني
telephone,سنترال تليفونات
exchangeable disk pack,خرطوشة أقراص تبادلية
exclusive OR gate,بوابة "أو" المخصصة
execution to binary,تحويل برامج التنفيذ إلى الصيغة الثنائية
intelligent knowledge based,نظام متخصص (خبير)
expert systems,نظم خبرة (نظم خبيرة)
explode,يمدد
extended character set,مجموعة الرموز الممتدة
extented addressing,عنونة ممتدة
external interrupt,مقاطعة خارجية
external storage,ذاكرة خارجية
extruded shape,شكل منبثق
e-zine ( electronic magazine ),إى زين ( مجلة إلكترونية )
face,وجه
f 2 f,وجها لوجه
I enjoyed talking to you,تعبير لإفادة أحد مستخدمي غرف الدردشة بالرغبة في مقابلته وجها لوجه,بدلا من الاكتفاء بالدردشة عبر الإنترنت. ومن أمثلة ذلك
would you like to meet me F2F?,تعبير لإفادة أحد مستخدمي غرف الدردشة بالرغبة في مقابلته وجها لوجه,بدلا من الاكتفاء بالدردشة عبر الإنترنت. ومن أمثلة ذلك
Facebook,فيس بوك
functioning as designed,يعمل كما صمم
fail safe,مأمون عند التعطل
fail safe system,نظام آمن عند تعطله
fail soft,خفيف التعطل
fail soft system,نظام يتعطل جزئيا
failure recovery,استئناف التشغيل بعد العطل
mean time between,متوسط المدة بين الأعطال
mean time to,متوسط المدة قبل التعطل
false add,جمع زائف
false code,شفرة زائفة
false error,خطأ زائف
family,أسرة
fan,مروحة
fan fold paper,ورق مروحي الطي
fan in,حزمة الإدخال
fan out,حزمة الإخراج
fanboy,مغرم
frequently asked questions,أسئلة شائعة
farmer,حاصد
fast access,توصل سريع
FIR port,منفذ سريع للأشعة تحت الحمراء
father file,الملف الأب
fault detection,اكتشاف الخلل
fault diagnosis,تشخيص الخلل
fault tolerant system,نظام تسامحي
fax modem,مودم الفاكس
federal communication commission,وكالة الاتصالات الفيدرالية
feather,خفت
FCC,وكالة الاتصالات الفيدرالية
federated identity,هوية موحدة
feed holes,ثقوب التغذية
feed pitch,خطوة التغذية
feed reel,بكرة التغذية
feedback queue,طابور التغذية الراجعة
feedback register,مسجل التغذية الراجعة
fiber channel,قناة ألياف ضوئية
FDDI,أداة بينية ليفية البيانات
fiber optic cable,كبل ألياف ضوئية
FET,ترانزستور مجالي التأثر (فيت)
field programmable devices,أجهزة قابلة للبرمجة
push up list,طابور
file handle,ممسك ملف
file layout,هيكل الملف
media librarian,أمين مكتبة الوسائط
file organization,تنظيم الملف
file processing,تشغيل الملفات,معالجة الملفات
file recovery,استعادة ملف
file updating,تحديث الملف
File Viewer,منظار ملف
fill character,حرف حشو,رمز حشو
filler,حشو
film frame,إطار الفيلم
film reader,قارئة الفيلم
film recorder,مسجل الفيلم
keys,تنقية المفاتيح
Filterkeys,مفاتيح ترشيح
finger print,بصمة
finite difference method,طريقة الفروق المحددة
finite element method,طريقة العناصر المحددة
firefox,فاير فوكس
FireWire,فاير واير
first fit method,طريقة الملاءمة الأولى
first generation computers,حواسيب الجيل الأول
fixed head disk drive,جهاز أقراص ثابت الرؤوس
fixed length code,شفرة ثابتة الطول
fixed length file,ملف ثابت الطول
fixed length record,سجل ثابت الطول
fixed point notation,ترقيم ثابت العلامة
monospaced font,فونط أحادي الحيز
fixed word length computer,حاسوب الكلمات الثابتة الطول
free lossless audio codec,محول صوت قليل الفقد
flash upgrade,تحديث ومضى
flashpix,فلاش  بكس
FlashSession,جلسة خاطفة
flat screen,شاشة مسطحة
flatbed scanner,ماسح مسطح
flicker,ارتعاش
flight simulator,محاكي الطيران
floating point notation,ترقيم عائم العلامة
floating point operation,عمليات العلامة العشرية العائمة
erasable optical disk,قرص ضوئي يمحى
flow control (Com.),التحكم في التدفق ( الاتصالات )
flu,فلو
flush left,تدفق نحو اليسار
flush right,تدفق نحو اليمين
flythrough,التحليق
frequency modulation synthesizer,موالف تضمين التردد
font cartridge,خرطوشه أبناط
font family,عائلة فونطات
foot mouse,فأرة قدم
foreground processing,تشغيل أمامي
forensic computing,استخدام الحاسوب في مجالات القضاء
forest,غابة
forgery,تلفيق
form stop,موقف التلقيم
formal language,لغة الصياغة
formal logic,المنطق الصوري
formatter,صائغ
FORTRAN,فورتران
FEC,تصحيح متقدم للأخطاء
forward slash,شرطة مائلة للأمام
http //www.arcbicacademy.org.eg,العلامة / التي توجد على لوحة المفاتيح. وتستخدم هذه العلامة أيضا في عناوين الإنترنت كما هو موضح في المثال التالي
fourth generation,الجيل الرابع
FRAM,فرام
FPS,عدد الأطر في الثانية
framing,تحديد الإطار
free net,شبكة مجانية,إنترنت مجاني
FSF,مؤسسة البرمجيات المجانية
free space list,قائمة الأماكن الخالية
Free text search,بحث حر في النص
freeze - frame video,فيديو ساكن الأطر
FMV ),فيديو تتوالى فيه الأطر كل بضع ثوان.,فيديو تام الحركة
frequency division multiplexer,مجمع ترددي
frequency domain,نطاق التردد
frequency modulation,تضمين التردد
fringeware,برمجيات مشكوك فيها
friode,فرايود
front panel,لوحة أمامية
frozen,متجمد
fry,يحرق
files transfer protocol,بروتوكول نقل الملفات
full adder,جماع تام
full duplex transmission,إرسال مزدوج كامل
full motion video adapter,موائم فيديو تام الحركة
full motion,عرض فيديو حركي كامل على الشاشة بكاملها
full screen video,عرض فيديو حركي كامل على الشاشة بكاملها,فيديو مالئ الشاشة
full page display,عرض صفحة بكامل الشاشة
full rights,حقوق كاملة
full text retrieval,استرجاع النصوص الكاملة
full text search,البحث بكامل النص
How can I fdisk my hard drive ?,مصطلح في مجال محركات البحث search engines يفيد البحث بنص كامل,لكن عادة ما تستبعد محركات البحث الكلمات الشائعة من أي نص,وعلى سبيل المثال البحث بالنص
functional design,تصميم وظيفي
functional diagram,مخطط وظيفي
functional languages,لغات وظيفية
functional specifications,مواصفات وظيفية
fuse,منصهر
fusible link,وصلة قابلة للانصهار (صهورة)
Fuzzy theory,نظرية إلغازية
Good to Go,آن الانصراف
Gaim,ج. ا. ي. م
game theory,نظرية المباراة
Gamespy,جيم سباي
gank,مكتسح
gigabit interface converter,موائم بيني
graphical device interface,مواجه أجهزة الرسومات
group decision support systems,مجموعة نظم دعم القرار
gender,نوع
GPRS,خدمة حزمة راديو عمومية
GPF,خطأ حماية عامة
GPIB,مسار تجميعي بيني للاستخدام العام
general purpose computer,حاسوب للاستخدام العام
generations,أجيال الحواسيب
computers,أجيال الحواسيب
generic access,توصل نوعي
Geostationary,ثابت بالنسبة للأرض
geo targeting,استهداف جغرافي
geocaching,تحصيل جغرافي
geotagged,معلم جغرافيا
gesture recognition,تمييز الإيماءات
ghost,شبح
ghosting,تشبيح
hash total,مجموع تدقيقي
Gibi,جي بي
graphical interchange format,النسق التبادلي للرسوم
gigabit Ethernet,إيثرنت بمعدل جيجا بيتة /ث
GIGO,نفايات داخلة نفايات خارجة (جيجو)
garbage in,مدخلات خاطئة  مخرجات خاطئة
garbage out,مدخلات خاطئة  مخرجات خاطئة
GNU image manipulation program,برنامج جنو للتعامل مع الصور
geographic information systems,نظم المعلومات الجغرافية
GKS,النظام اللبي للبيانات,نظام كيرنيل للرسوم ( مواصفات الأيزو للرسوم ),النظام اللبي للبيانيات
glare screen,حاجب التوهج
glass house,البيت الزجاجي
global network navigator,ملاح الشبكة العالمية
GPS,النظام الكوني لتحديد المواقع
gmail,جي ميل
gnutella,جنوتيلا
GO TO "statement",اذهب
Googol,جوجول
general protection fault,خطأ حماية عام
general public license,ترخيص عام
graphic pages per minute,عدد صفحات الرسومات في الدقيقة
general packet radio service,الخدمة العامة لباقات الراديو
graphics processing unit,وحدة معالجة رسومات
grabber,لاقط,منتزع
graceful degradation,تدهور هين في مشاركة الزمن
grammar checker,مراجع النحو
granularity,حبيبية
graphic language,لغة الرسومات
graphicist,رسام (بالحاسب)
graphics character,رمز بيانيات
graphics controller,متحكم رسومات
graphics mode,نمط رسومات
G.O. Screen,شاشة لعرض الرسومات
graphics pad,لوحة بيانيات
graphics tablet,حاسوب رسم
graphics terminal,نهاية طرفية للبيانيات
congratulations,تهنئتي
gray importing,تسويق رمادي
green book,كتاب أخضر
gridlines,خطوط شبكية
griefer,صانع المشاكل
grind,يطحن
grounch,عطب
ground,أرض
grounding,تأريض
GCR,تخزين مجموعات مكودة
global system for mobile communication,النظام العالمي للاتصالات بالجوال
guest book,دفتر الزيارة
guild,طائفة
guiltware,برامج استدرار
gulp,جرعة
H.324,مواصفات الاتصالات على الخطوط التليفونية (H. 324)
hacker programmer,مبرمج عابث
half adder,نصف جماع
half duplex transmission,إرسال مزدوج نصفى
Hamiltonion cycle,دورة هاملتون
Hamming code,كود هامنج
hand held scanner,ماسح يدوي
Have a nice day,نهارك سعيد
handles,مقابض
hands on,التدرب عمليا
handwriting recognition,التعرف على خط اليد
hard card,البطاقة الصلبة
hard error,خطأ عتادي
hard reset,إعادة تشغيل عتادية
hardcore,الشديد
hardwired,مربوط سلكيا
harvester,الحاصد
hazard,خطر محتمل
high definition digital versatile disc,قرص رقمي عالي الوضوح
high definition multimedia interface,وصلة بينية متعددة الوسائط وعالية الوضوح
handheld device markup language,لغة عرض للأجهزة الكفية
high density read only memory,ذاكرة قراءة فقط عالية الكثافة
High bit rate DSL,نظام اشتراك رقمي عالي السرعة
high definition television,تلفاز عالي الوضوح
recording,رأس التسجيل
headphones,سماعة رأس
Hertz,هرتز
Hz,هرتز
heuristic algorithm,خوارزم لا منهجي
hi,هاي
Human Interface Device,جهاز بيني
hidden line algorithm,خوارزم الخطوط المختفية
