analog to digit converter,مُحَوِّلُ تَناظُرِيُّ إلى رَقْمِيٍّ
,نطاق تلفزيوني يعطى المشاهد الفرصة في اختيار البرنامج الذي يناسبه، وموعد عرضه، كما يتيح أيضًا التفاعل مع البرامج، وهذا النظام يدمج تقنيات التلفزيون، والحواسيب، والشبكات في منظومة متكاملة.
Job control Language,لُغَةُ التَّحَكُّمِ في الشُّغْلَةِ
jitter,ارتعاش
JK-flip-flop,دائِرَةٌ قَلاّبَةٌ JK
job,شُغْلَة
JCL,لُغَةُ تَحَكُّمٍ في الشُّغْلَةِ
JECS,خَدَماتٌ مَرْكَزِيَّةٌ لأوامِرِ التَّغْذِيَةِ
job file,مِلَفُّ شُغْلَة
job mix,خَلْطَةُ شُغْلات
job priority,أولوية التشغيل
job queue,طابُورُ الشُّغْلات
job scheduling,جَدْلة الشُّغْلات
job stream,دَفقة الشُّغْلاتِ
joggling,ترتيب البطاقات
Josephson junction,وصلة جوزيفسن
journal,سِجِلٌّ زَمَنِيٌّ
journal file,مِلَفُّ اليَوْمِيَّةِ
JOVIAL,جوفيال
joy stick,عَصا القِيادَةِ
joint photographic experts group,المجموعة المشتركة لخبراء التصوير الفوتوجرافي
jump instruction,أمْرٌ بالتَّخَطِّي
jump, conditioned,قَفْزٌ مَشْرُوطٌ
jump, unconditional,قَفْزٌ غَيْرُ مَشْرُوطٍ
jumper,قَنْطَرَةُ تَوْصِيلٍ
junction,وُصْلَة
junctor,رابِط
justification,تصفيف
,تحديد طريقة ضبط نهايات السطور في برامج تشغيل الكلمات؛ وذلك بضبط الجهة اليمنى للسطر (right justify)، أو الجهة اليسرى (left justify)، أو بضبط الجهتين، ويتم الضبط بتعديل المسافات بين الكلمات، بحيث تقع بدايات السطور أو نهاياتها على خط مستقيم.
K (kilo),ك (كيلو)
Karnaugh map,جَدْوَلُ "كارنوف"
KB,كيلو بايْت
kernel,لُبّ
key,مِفْتاح
key to disk,من المفتاح إلى القرص
key to tape,من المفتاح إلى الشريط
key, primary,مِفْتاحٌ أساسِيّ
keyboard,لَوْحَةُ مَفاتِيحٍ
keypad,قُرْصَةُ مَفاتِيحٍ
keypunch,آلَةُ تَثْقِيبٍ
keyword,مفتاح البحث
reserved word,كَلِمَةٌ مِفْتاحٌ ( كلمة مخصصة)
kiosk,كُشك
,حاسوب مستقل يتيح المعلومات مباشرة، مثل عرض أدلة التسوق والبيع، وأي معلومات تفاعلية interactive أخرى، وذلك من خلال الشاشة اللمسية، أو لوحة المفاتيح، أو الاثنتين معًا.
L8R,مؤخرًا
label,واسِمَة
label, statement,إشارَةُ الجُمْلَةِ
label, tape,شارَةُ الشَّرِيطِ
LAN gateway,وصلة بوابية للشبكات المحلية
local area network,شبكة محلية للحاسبات
language, programming,لُغَةُ بَرْمَجَةٍ
link access protocol,بروتوكول التَّوصُّل للبيانات
laptop computer,حاسوب محمول
large scale integration,تَجْمِيعٌ كَبِيرٌ
laser measuring system,نظام قياس ليزرى
push-down list,رَصَّة
latch,لاقِفَة
latency period,فَتْرَةُ الكُمُونِ
leaf node,عقدة طرفية
leap frog test,اختبار وثبي
leased channel,قَناةٌ مُؤَجَّرَةٌ
leased circuit,دائِرَةٌ مُسْتَأْجَرَةٌ
leased line,خَطٌّ مُسْتَأْجَرٌ
least frequently used memory,الذاكرة الأقل استخدامًا
least recently used memory,الذاكرة الأقل استخدامًا حديثاً
least significant digit,الرَّقْمُ الأدْنَى أهَمِّيَّةٍ
hakspeak,التَكَلمُ بالأرقامِ
left subtree,شُجَيْرَةُ اليَسارِ
lexical analyzer,مُحَلِّلُ مُفْرَداتٍ
lexical scan,مسح مُعجمي
lexicographic sorting,فَرْزٌ مُعْجَمِيٌّ
local forms control,أساليب للتحكم المحلي
liaison,اتصال
librarian program,برنامج المكتبة
library, program,مَكْتَبَةُ بَرامِجٍ
push-down list,رَصَّة
ligature,رموز مربوطة
light button,زر ضوئي
LED,دايود مُضِيءٌ
light pen,قلم ضوئي
limiter,مُحَدِّدَة
line,خَطُّ اِتِّصالاتٍ
line conditioner,موائم الجهد
LCB,مَجْمُوعَةُ التَّحَكُّمِ في خَطِّ الاِتِّصالِ
line feed,تغذية سطرية
line printer,طابِعَةُ سُطُورٍ
line, dedicated,خَطٌّ مُخَصَّصٌ
linear array,مَنْظُومَةٌ خَطِّيَّةٌ
linear programming,بَرْمَجَةٌ خَطِّيَّةٌ
,طريقة لإيجاد قيم غير سالبة للمتغيرات   ، تحقق أحد الحلول المثلي للمعادلات:
,بحيث يؤدى هذا الحل إلى الحصول على أصغر قيمة للدالة الخطية:
LAP,بروتوكول التَّوَصُّل للبيانات
linkage editor,مُحَرِّرُ التَّجْمِيعِ
chained list,قائِمَةٌ مُوَصِّلَةٌ
linker,رابط
linpack,الحزمة الخطية (لينباك)
Linux,لينِكس
logical inferences per second,معدل الاستقراء المنطقي
LCD,أساس مرجعي لتقرير سرعة المعالجة بالحاسوب، وبخاصة في مسائل الذكاء الاصطناعي.
LISP,ليسب
list,قائِمَة
LISP,تشغيل القوائم
list processing languages,لُغاتُ تَشْغِيلِ القَوائِمِ
liveware,الكوادر البشرية
loader,مُحَمِّل
LAN,شَبَكَةٌ مَحَلِّيَةٌ للحواسيب
local bus,مسار تجميعي محلى
local intelligence,ذكاء محلى
localtalk,اتصال محلى
local variable,مُتَغَيِّرٌ مَحَلِّيٌّ
lock,قُفْل
lockout flag,عَلامَةُ حَجْبٍ
locks and keys system,نِظامُ الأقْفالِ والمَفاتِيحِ
lofting,تجسيم
log file,مِلَفُّ تَسْجِيلٍ
logger,مسجل الأحداث
logging, failures,تسجيل الأعطال
logic bomb,قنبلة منطقية
logic circuit,دائِرَةُ مَنْطِقٍ (مَنْطِقِيَّة)
logic circuit analyzer,مُحَلِّلُ دَوائِرِ المَنْطِقِ
logic control,تحكم منطقي
logic instruction,أَمْرُ مَنْطِقٍ
logic programming languages,لُغاتُ بَرْمَجَةِ المَنْطِقِ
login (logon),تَسْجِيلُ دُخُولٍ
LOGO,لوجو
logoff,تَسْجِيلُ خُرُوجٍ
laughing out loud,الضحك بصوت عالٍ
long term storage,تخزين طويل المدى
longitudinal check,فحص طولي
LRC,فحص بالحشو الطولي
loop,عروة
loossely coupled twin,توأمان ضعيفا الارتباط
lossless compression,انضغاط بلا فقد
lossy compression,انضغاط بفقد
lossy compression,ضغطٌ بالفقد
low-going transition,التحول إلى الأدنى
low-level format,تنسيق منخفض المستوى
low-level language,لُغَةٌ مُنْخَفِضَةُ المُسْتَوَى
low-pass filter,مُرَشِّحُ التَّرَدُّداتِ المُنْخَفِضَةِ
line per minute,سَطْر/ دَقِيقَة (س / ق)
,وحدة لقياس سرعة الطباعة، وتعبر عن عدد السطور المطبوعة في كل دقيقة.
Mega,ميجا
hardware address,العنوان الفعلي للعتاد
machine,مَكِنَةٌ حاسبةٌ
machine language,لغة الكود
machine intelligence,ذَكاءُ الآلَةِ
machine code,لُغَةُ المَكِنَةِ
machine learning,التَعَلُّمُ بالمَكِنَةِ
machine spoiled work time,زمن تعطل المكنة
macro,ماكرو
macro instruction,أَمْرٌ مُرَكَّبٌ
macro programming,بَرْمَجَةٌ مُرَكَّبَةٌ
Macroblock,كتلة كبرى
MACSYMA,مكسيما
magnetic bubble memory,ذاكِرَةُ الفُقَّاعاتِ المِغْنَطيسِيَّةِ
magnetic card,بِطاقَةٌ مِغْنَطيسِيَّةٌ
magnetic cores,قُلُوبٌ مِغْنَطيسِيَّةٌ
magnetic disk,قُرْصٌ مِغْنَطيسِيٌّ
magnetic drum,أُسْطُوانَةٌ مِغْنَطيسِيَّةٌ
magnetic ink,حِبْرٌ مِغْنَطيسِيٌّ
magnetic strip (stripe),شريط مغنطيسي
magnetic tape,شَرِيطٌ مِغْنَطيسِيٌّ
magnetic thin film,غشاء مِغْنَطيسِيٌّ رَقِيقٌ
magnetostriction effect,ظاهرة التخصُّر المغنطيسي
magnetostrictive acoustic delay line,خط تأخير صوتي بالتقبض المغنطيسي
mail merge,دمج المراسلات
mail reflector,عاكس البريد
mail server software,برنامج خادم البريد
mailbox,صُنْدُوقُ بَرِيدٍ
main frame,حاسوب رَئِيسِيٌّ
main program,البَرْنامَجُ الرَّئِيسِيُّ
primary memory,الذاكِرَةٌ الرَئِيسِيَّةٌ
main memory,الذَّاكِرَةُ الرَّئِيسِيَّةُ
majordomo,ميجور دومو
malfunction,خَلَلٌ وَظِيفِيٌّ
MMI,التَّوَاصُلُ بَيْنَ الإنْسانِ والحاسوب
HCI,التَّواصُلُ بَيْنَ الإنْسانِ والحاسوب
managed data network service,خدمة شبكة لإدارة البيانات
MIS,نظام معلومات للإدارة
mantissa,الجُزْءُ الكسري
mail API,برنامج تطبيقي بيني للبريد
mask,قناع
mass storage,خازِنَةٌ ضَخْمَةٌ
master file,مِلَفٌّ رَئِيسِيٌّ
master-slave flip-flop,دائِرَةٌ قَلاَّبَةٌ ذاتُ تابِعٍ ومَتْبُوعٍ
master-slave system,نِظامُ التَّابِعِ والمَتْبُوعِ
material technology,تكنولوجيا المواد
mathematical model,نَمُوذَجٌ رِياضِيٌّ
mathematical programming,البَرْمَجَةُ الرِّياضِيَّةُ
matrix,مَصْفُوفَة
matrix printer,طابِعَةٌ مَصْفُوفِيَّةٌ
matrix storage,التَّخْزِينُ المَصْفُوفِيُّ
monochrome display adapter,مهايئ عرض أحادى اللون
medium,وسط
MSI,تَجْمِيعٌ مُتَوَسِّطٌ
megapixel display,شاشة عرض ميجابكسل (مليون عنصر صورة)
memory,ذاكِرَة
memory cycle,دَوْرَةُ الذَّاكِرَةِ
memory dump,نُسْخَةُ الذاكِرَةٍ
memory guard,حارس الذاكرة
memory map,خَرِيطَةُ الذَّاكِرَةِ
memory overflow,فَيْضُان الذَّاكِرَةِ
memory reference instruction,أَمْرٌ بالرُّجُوعِ إلى الذَّاكِرَةِ
memory to memory instruction,أَمْرٌ من الذَّاكِرَةِ وإلَيْها
menu,قائِمَةُ اِخْتِياراتٍ
mercury delay line,خط تأخير زئبقي
mercury memory,ذاكرة زئبقية
mergeable heap,كَومَة مندمجة
wire frame,عنصر الشبكة
message switching,تَبْدِيلُ الرَّسائِلِ
metadata,وصف البيانات
MAE,سنترال منطقة رئيسية
MAN,شبكة حواسيب لمدينة كبيرة
micro,ميكرو
micro code,الشَّفْرَةٌ الدَقِيقَةٌ
microcomputer,حاسوب دَقِيقٌ
microcontroller,مُنَظِّم دقيق
microfiche,مايكروفيش
microform,ميكروفورم
microinstruction,أَمْرٌ دَقِيقٌ
micropayments,دفعات صغيرة
microprocessor,مُشَغِّلٌ دَقِيقٌ
microprogramming,البَرْمَجَةُ الدَّقِيقَةُ
Microsoft Hyper Terminal,طرفية تشعُّبية
middleware,برنامج بيني
musical instrument digital interface,وصلة بينيه رقمية للآلات الموسيقية
milnet,شبكة عسكرية
Milli,مِلِّي
minicomputer,حاسوب صَغِيرٌ
minimum ionization,أدنى تأين
minmax,التعظيم والتدنية
MIPS,مِلْيُونُ أمْرٍ في الثَّانِيَةِ
mirror site,موقع مرآتي
mirroring,المرآتية
misconvergence,التقارب الخاطئ
multimedia extension,تمديد الوسائط المتعددة
mode switching,تغيير النمط
modem,مُضَمِّنُ فاك
modulator-demodulator.,جهاز لنقل الإشارات الرقمية على خطوط الاتصالات بين الحواسيب؛ بتحويل الإشارات الرقمية إلى إشارات يمكن نقلها على قناة اتصالات، كما يقوم بتحويل الإشارات القادمة من قناة اتصالات إلى إشارات رقمية. والمصطلح منحوت من كلمتين:
modem cable,كبل مودم
MFM,التضمين المعدل التردد
modified modified frequency modulation),تعديل لنظام تضمين التردد، يقوم على أساس الاستفادة من البيتات المتماثلة المتتالية، بهدف التقليل من الحاجة لنبضات الضبط، وهذا يزيد من الكثافة التخزينية للوسط. وقد أمكن تطوير هذه الفكرة في نظام
modular programming,بَرْمَجَةٌ بالوَحْداتِ
modulation,تَضْمِين
modulator,مُضَمِن
monitor,مرقاب
morphing,تشكيل
Mosaic,موزاييك
National Center for Supercomputing Applications (NCSA ),أحد برامج تصفح الويب على شبكة الإنترنت، تم تطويره في المركز الوطني لتطبيقات الحوسبة الفائقة
MOSFET,موسفت (ترانزستور موس)
Metal Oxide Semiconductor field Effect Transistor,نوع من الترانزستورات يتركب من ثلاث طبقات متتالية، من شبه موصل، وعازل وفلز. والمصطلح الأجنبي يتكون من أوائل كلمات العبارة:
motherboard,اللوحة الأم
motion vector,مُتَجَه الحركة
MVC,ضاغط للفيديو المتحرك
mount,إعْداد
dismount),وضع جهاز طرفي في حالة تسمح باستخدامه بنظام الحاسوب.
mouse,ماوس
moving pictures expert group,مجموعة أسلوب الخبير للصور المتحركة
multiprotocol over ATM,بروتوكول متعدد المهام لنقل البيانات لاتزامنيًّا
MS-DOS,نِظامُ التَّشْغِيلِ بالقُرْصِ
Microsoft Disk Operating System.,نظام تشغيل الحواسيب الصغيرة تم تطويره وانتشر في الثمانينات على الحواسيب الصغيرة، والاسم منحوت من العبارة الإنجليزية:
MMX,امتداد الوسائط المتعددة
multi-aspect search,بحث متعدد الجوانب
multicast,بثٌّ متعدد عبر شبكة
Multidrop Line,خَطٌّ مُتَعَدِّدُ الاِتِّصالِ
multimedia,وسائط متعددة
multimedia file,ملف متعدد الوسائط
MUX,مُجَمِّع
multiprocessing,تَعَدُّدُ التَّشْغيلِ
multiprogramming,تَعَدُّدُ البَرْمَجَةِ
multisync monitor,مرقاب (شاشة) متعدد التزامن
multi-tasking,تَعَدُّدُ المُهِمَّةِ
MUD,حجيرة متعددة المستخدمين
MYOB,اهتم بما يعنيك
,عبارة قد تظهر على شاشة الإنترنت، اختصارًا لعبارة mind your own business.
NAND gate,بَوَّابَةُ "نَفْي واو"
NAND operation,عَمَلِيَّةُ "نَفْي واو"
nano,نانو
narrative,إيضاحات
narrow band,نطاق ضيق
native code,كود مُنْتمٍ
natural language,لغة طبيعية
negation,نَفْي
negative logic,مَنْطِقٌ مَعْكُوسٌ (مَنْطِقٌ سالِبٌ)
inverter,نافِيَة
nesting,اِحْتِواء
nesting store,خازِنَةٌ بالرَّصِّ
net personality,شخصية إنترنتية
net police,شرطي إنترنتي
netiquette,أخلاقيات إنترنتية
netizen,مواطن إنترنتى
netware,نت وير
NLM,وحدة نت وير قابلة للتحميل
network,شَبَكَة
network database system,نِظامُ قاعِدَةِ بَياناتٍ شَبَكِيَّةٍ
NFS,نظام ملف الشبكة (إن إف إس)
network front end,مُساعِدٌ أمامِيٌ للشَّبَكَةِ
newsgroups,مجموعات نقاش
nexus,نقطة تقاطع ( توصيل مشترك )
nibble,قُضيَمة ( نصف بايت )
network news transfer protocol,بروتوكول نقل أخبار للشبكة
no-address instruction,أمْرٌ بِلا عُنْوانٍ
node, switching,عُقْدَةُ تَحْوِيلٍ
noise,شَوْشَرَة
noise immunity,مَناعَةُ الشَّوْشَرَةِ
noise margin,حَدُّ الشَّوْشَرَةِ
NDRO,قِراءةٌ غَيْرُ مُتْلِفَةٍ
nonequivalence gate,بَوَّابَةُ عَدَمِ التَّطابُقِ
nonequivalence operation,عَمَلِيَّةُ عَدَمِ التَّطابُقِ
non-impact printer,طابِعَةٌ غَيْرُ طارقة
non-operation instruction,أمْرٌ بِلا عَمَلِيَّةٍ
declarative language,لُغَةٌ غَيْرُ إجْرائِيَّةٍ
non-volatile memory,ذاكِرَةٌ مُسْتَدِيمَةٌ
NOR gate,بَوَّابَةُ "نَفْي أو"
NOR operation,عَمَلِيَّةُ "نَفْي أو"
normal form,النَّمُوذَجُ السَّوِيُّ
network operating system,نظام أداء الشبكات ( نوس)
NOT operation,عَمَلِيَّةُ "لا"
non-return to zero,عَدَمُ العَوْدَةِ إلى الصِّفْرِ
null character,رَمْزُ اللاشَيْءِ
null list,قائِمَةٌ صِفْرِيَّةٌ
numeric character,رَمْزٌ رَقْمِيٌّ
numeric code,كودٌ رَقْمِيٌّ
numerical analysis,التَّحْلِيلُ العَدَدِيُّ
numerical control,التَّحَكُّمُ العَدَدِيُّ
Nyquist criterion,فَيْصَلُ "نايكويست"
Nyquist rate,مُعَدَّلُ "نايكويست"
,الحد الأدنى لمعدل أخذ العينات من الإشارات التناظرية، بدون فقد في المعلومات الموجود بها، ويساوي هذا الحد ضعف أكبر تردد في الإشارة.
organization and methods,التنظيم والأساليب
object,شيء
object program,الكود الوسيط
object language,لُغَةٌ وَسِيطَةٌ
object oriented graphics,رسوم شيئية التوجه
object program,البَرْنَامَجُ الوَسِيطُ
objective C,سي الموضوعية
optical character recognition,تَمْيِيزُ الرُّمُوزِ ضَوْئِيَّاً
octal,ثُمانِيّ
octal notation,التَّمْثِيلُ الثُّمانِيُّ
octal number,عَدَدٌ ثُمانِيٌّ
octet,بايْت ثُمانِيَّةٌ
open database connectivity,الترابطية المفتوحة لقاعدة البيانات
odd parity,الضَّبْطُ بالفَرْدِيَّةِ
original equipment manufacturer,المنتج الأصلي للمعدات (أويم)
office automation,أوْتَمَةُ العَمَلِ المَكْتَبِيِّ
off-line,غير مباشر
offset, address,الإزاحَةُ عَن العُنْوانِ
object linking and embedding,ربط وضم الأشياء
omni recognition,التعرف الكلي
on-line,مباشر
online processing system,نِظامُ التَّشْغِيلِ المباشر
open architecture,بنية مفتوحة
open graphics language,لغة عامة للرسوم
open source,مفتوح المصدر
OSI,نِظامُ الاِتِّصالِ المَفْتُوحِ
(international standards organization (ISO,طريقة اتصال بين الحواسيب المختلفة، باستخدام شبكة اتصالات للبيانات. وقد تبنت هذه الطريقة المنظمة العالمية للمواصفات القياسية
operand,مُعامَل
OS,نِظامُ تَشْغِيلٍ
operating time,زمن التشغيل
operation code,شفرة العَمَلِيَّةِ
operation register,مُسجِّلُ كودِ العَمَلِيَّةِ
operational amplifier,مُكَبِّرُ التَّشْغِيلِ
operator,مُشَغِّل
OCR,تَمْيِيزُ الرُّمُوزِ ضَوْئِيَّاً
optical disk,قُرْصٌ ضَوْئِيٌّ
CD,سي دي
optical font,نَمَطٌ ضَوْئِيٌّ
Inclusive-OR-operation,عَمَلِيَّةُ "أو"
OR-gate,بَوَّابَةُ "أو"
operating system,نِظامُ التَّشْغِيلِ
oscillator,مُذَبْذِب
outconnector,رمز استكمال الاتصال
output,رمز على مخطط مسار العمليات، يحدد له رقم معين يدل على استكمال المسار في موقع آخر، له الرمز والرقم نفساهما.
output, computer,خَرْجُ الحاسوب
arithmetic overflow,فَيْضٌان حِسابِيٌّ
overflow, memory,فَيْضُان الذَّاكِرَةِ
overlapping,تراكب زمني
overlay,إحلال
overload,حمل زائد
overprinting,طباعة متراكبة
overriding,تجاوز
overwrite,كتابة إحلالية
oxide shed,فقد الأكسيد
private automatic branch exchange,فرع تبادل أوتوماتي خاص
pack,حُزْمَةُ أقْراصٍ
packed decimal,تَخْزِينٌ عَشْرِيُّ مُحَزَّمٌ
packet,حُزْمَة
packet identifier,مُعرِّف الحزمة
packet switching,تَبْدِيلٌ حُزَمِيٌّ
packing,حَزْم
packing density,كَثافَةُ الحَزْمِ
pad,وسادة
packet assembly and disassembly,تجميع وفك الحزمة
padding,تَذْيِيل
paddle,مِقوَد
joystick,عصا القيادة
page,صَفْحَة
PDL,لغة برمجة لوصف الصفحة
page printer,طابِعَةُ صَفَحاتٍ
page table,جَدْوَلُ الصَّفَحاتٍ
paging,تَصَفُّح
palette,لوحة ألوان
palm sized computer,حاسوب بحجم كف اليد
personal area network,شبكة شخصية
PMS,نظام كفء للألوان
paper tape,شَرِيطٌ وَرَقِيٌّ
parallel access,التَّوَصُّلُ المُتَوازِي (التَّوَصُّلُ الآنِيُّ)
parallel adder,جَمَّاعٌ على التَّوازي
parallel algorithm,خَوارِزْمٌ مُتَوازي
parallel arithmetic,الحِسابُ على التَّوازي
parallel computer,حاسوب مُتَوازي
PIO,إدْخالٌ وإخْراجٌ على التَّوازي
parallel processing,تَشْغِيلٌ مُتَوازٍ
parallel transfer,نَقْلٌ مُتَوازٍ
PIPO,دُخُولٌ بالتَّوازي وخُرُوجٌ بالتَّوازي
PISO,دُخُولٌ مُتَوازٍ وخُرُوجٌ مُتَوالٍ
parameter,بارامتر
parameter passing,نَقْلُ البارامتراتِ
father,عُقْدَةُ تَفَرُّعٍ
parity bit,بيتَّةُ ضَبْطِ النَّدِّيَّةِ
parity check,اِخْتِبارُ ضَبْطِ النَّدِّبَّةِ
parsing,إعْراب
PASCAL,باسْكال
,لغة من لغات البرمجة تتضمن تركيبات للتحكم، تجعلها من لغات البرمجة التركيبية.
pass band,نِطاقُ مُرُورٍ
password,كَلِمَةُ السِّرِّ
public access terminal,مطراف عام للتوصُّل
patch,تصحيح
plug board,لَوْحَةُ تَوْصِيلٍ
patch board,لوحة توصيل
path,مَسار
pattern recognition,تَمَيُّزُ الأشْكالِ
PC,بي سي
printed circuit board,لَوْحَةُ دائِرَةٍ مَطْبُوعَةٍ
printer control language,بي سي إل (لغة التحكم للطابعة)
pulse code modulation,تَضْمِينُ مُشَفِّرُ النَّبْضِ
personal digital assistant,مساعد رقمي شخصي
peek,اطَّلِع
peer to peer communications,اتصالات نظير بنظير
peer to peer network,شبكة نظير بنظير
penetration,اِخْتِراق
performance analysis and evaluation,تَحْلِيلُ الأداءِ و تَقْيِيمُهُ
peripheral,وَحْدَةٌ طَرَفِيَّةٌ
PIA,المُرافِقٌ البَيْنِيَّ للوَحْداتِ الطَّرَفِيَّةِ
peripheral processor,مُشَغِّلُ وَحْدَةٍ طَرَفِيَّةٍ
HCI,التَّواصُلُ بَيْنَ الإنْسانِ والحاسوب
PC,حاسوب شَخْصِيٌّ
PDA,مساعد رقمي شخصي
PIN,رقم الهُويَّة
personal productivity software,برامج إنتاجية خاصة
perspective view,مشهد منظوري
ubiquitous computing,حوسبة مُتغلغِلة
petaflops,بيتافلوبس
precision graphics markup language,لغة دقيقة لوسم رسوم الجرافيك
phase modulation,تَضْمِينُ الطَّوْرِ
programmer's hierarchical interactive graphics system,نظام للرسوم تفاعلي تراتبي للمبرمج
phishing,خداع إلكتروني
phoneme,فونيم
photo CD,فوتو سي دي
phreaking,اقتحام
pica,بَيْكا
pick list,قائمة اختيار
pico-,بيكو
image processing,تَشْغِيلُ الصُّوَرِ
pilot running,تشغيل تجريبي
packet internet groper,بِنج
pingpong,أسلوب بِنج بُونج
pipeline processing,التَّشْغِيلُ الأُنْبُوبِيُّ
piracy,قَرْصَنَة
pixel,نقطة ضوئية
PL / 1,لُغَةُ البَرْمَجَةِ1 (بي إل 1)
programmable logic array,مَنْظُومَةٌ مَنْطِقِيَّةٌ قابِلَةٌ للبَرْمَجَةِ
plain text,نص بسيط
,"white-space: pre;">	 نص غني rich text format (RTF))
plain vanilla,المتطلبات الأولية
plant,مخزن مؤقت
platen,صحن
platform,منصة
Microsoft Windows Xp.,مجموعة من الأجهزة (العتاد)، أو البرامج التي تشترك في مواصفات معينة، ومن أمثلة منصة العتاد المجموعة X86، ومن أمثلة منصة البرمجيات
PICS,منصة لاختيار محتويات الإنترنت
platter,طبق
playback head,رأس الاسترجاع
player,رأس مغنطيسي حساس مخصص لقراءة البيانات المسجلة من الوسائط الممغنطة، أو استرجاعها.
programmable logic controller,جهاز تحكم منطقي يُبرمَج
plotter,راسِمَة
Plug-and-play,وَصِّل وشَغِّل
point-of-sale system,نِظامُ مَراكِزِ البَيْعِ
POS terminal,نظام يربط الحاسوب بنهايات طرفية في مراكز لتسجيل المبيعات. له القدرة على تخزين النقود، وعمل بعض الحسابات المحلية، وطباعة الفواتير، وما إلى ذلك من عمليات مرتبطة بالبيع.
point-to-point line,خَطُّ نُقْطَةٍ إلى نُقْطَةٍ
poke,عَدِّل
prefix notation,الصِّيغَةُ البولَنْدِيَّةُ
polling,اِسْتِفْسار
polygon,مُضَلَّع
pool, buffer,مُجَمَّعُ مَخازِنٍ وَسِيطَةٍ
post office protocol,بروتوكول بريدي
port,مَنْفَذ
port, I/O,مَنْفَذُ إدْخالٍ وإخْراجٍ
portable document format (pdf),وثيقة قابلة للحمل
portable electronic document,وثيقة إلكترونية تُنقَّل
portable software,بَرْنامَجٌ قابِلٌ للنَّقْلِ
postmortem analysis,تَحْلِيلُ بَعْدَ الخَلَلِ
postorder tree traversal,مَسْحٌ شَجَرِيٌّ يَنْتَهي بالجَذْرِ
postprocessor,برنامج تشغيل لاحق
PS,لغة وصف الصفحة
postscript language,لغة بوست سكريبت
powerPC,مُشغِّل فائق
PPCP,منصة للمشغلات الفائقة
SLIP,سليب
parameter RAM,رامْ البارامترات
precedence parsing,الإعراب طبقًا للسوابق
precision,دَرَجَةُ تَمْثِيلِ العَدَدِ
predefined process,عَمَلِيَّةٌ مُسْبَقَةُ التَّعْرِيفِ
predicate function,دالَّةٌ خَبَرِيَّةٌ
preemptive allocation,تَغْيِيرُ الأوْلَوِيَّةِ
polish notation,الصِّيغَةُ البولَنْدِيَّةُ
preorder tree traversal,مَسْحٌ شَجَرِيٌّ مِن الجَذْرِ
prestel,برستل
PGP,خصوصية جيدة
preventive maintenance,صيانة وقائية
program report generator,لُغَةُ تَوْلِيدِ التَّقارِيرِ
main memory,الذاكِرَةٌ الرَئِيسِيَّةٌ
primitive,بِدائِيّ
primitive data types,أنْواعُ البَياناتِ البِدائِيَّةِ
printed circuit,دائِرَةٌ مَطْبُوعَةٌ
printed circuit board,لَوْحَةُ دائِرَةٍ مَطْبُوعَةٍ
printout,مَطْبوعات
prioritize,ترتيب الأولويات
PABX,فرع تبادل أوتوماتي خاص
problem oriented language,لُغَةٌ لحَلِّ المَسائِلِ
process control, computer,تَحَكُّمٌ بالحاسوب
PSW,وصف حالة المُشغِّل
CPU time,زَمَنُ التَّشْغِيلِ المَرْكَزِيِّ
processor, word,مُعالِجُ الكَلِماتِ
POS,مَضْرُوبُ المَجْمُوعاتِ
program,بَرْنامَج
program control,بَرْنامَج التحكم
instruction counter,عَدَّادُ الأوامِرِ
program fetch time,مدة جلب البرنامج
PIF,ملف معلومات البرنامج
program library,مَكْتَبَةُ بَرامِجٍ
source listing,قائِمَةٌ مُصَحِّحَةٌ للبَرْنامَجِ
PRG,لُغَةُ تَوْلِيدِ التَّقاريرِ
PSW,وصف حالة البرنامج
PLC,جهاز تحكم منطقي يُبرمج
PILOT,تقصٌ مبرمج للتعليم أو التعلم ( بَيلوت)
programming,البَرْمَجَة
programming flow chart,خَرِيطَةُ مَسارٍ للبَرْمَجَةِ
programming language,لُغَةُ بَرْمَجَةٍ
PROLOG,برولوج
prologue epilogue processing,معالجة البداية والنهاية
PROM,بروم
programmable read only memory,ذاكرة يمكن قراءة البيانات المكتوبة فيها، ولا يمكن محوها أو كتابة بيانات جديدة بها. والمصطلح مأخوذ من أوائل كلمات العبارة الإنجليزية:
PROM programmer,مُبَرْمِجُ بروم
prompt,تَنْبِيهٌ فَوْرِيٌّ
propagation delay,تَأَخُّرُ الاِنْتِشارِ
proportional font,فونط نسبي الحيز
protocol, communication,بروتوكولُ الاِتِّصالِ
proxy,بروكسي (حاسب وكيل)
packet switched data network,شبكة بديلة لنقل حزم البيانات
pseudo random numbers,أرْقامٌ عَشْوائِيَّةٌ زائِفَةٌ
pseudocode,كود زائف
priority scheduling program,برنامج جدولة الأولويات
public key system,نِظامُ المِفْتاحُ المُعْلَنِ
pull down menu,قائمة منسدلة
PCM,تَضْمِينُ مُشَفِّرِ النَّبْضِ
punch card,بِطاقَةٌ مُثَقَّبَةٌ
punched tape,شَرِيطٌ مُثَقَّبٌ
push button,زِرٌّ ضَغْطِيٌّ
stack,رَصَّة
FIFO,طابُور
quality script processor,المعالج الكيفي للكتابة
quad,رُباعِيّ
quad speed,أربعة أمثال السرعة
quadratic programming,بَرْمَجَةٌ رُباعِيَّةٌ
quality assurance,ضبط مستوى النوعية
Qc,مراقبة مستوى النوعية
